original_location_description,exact_location,general_location
"SW of Lebreque's, same pd as 3.024",unknown,surrounding area
S of Arthur's House,unknown,surrounding area
SW of Lebreque's same as 3.024,unknown,surrounding area
Nest 308,unknown,surrounding area
pd west of Lebreques,unknown,surrounding area
Nest 274,unknown,surrounding area
"SW of Lebreques, LOC same as freq, 3.024",unknown,surrounding area
SW of Lebreques,unknown,surrounding area
"Same as freq, 3.024",unknown,surrounding area
Nest 252,unknown,surrounding area
1/8 mi N of farmhouse (S of Arthur's),unknown,surrounding area
Nest 249,unknown,surrounding area
"N of Arthur's, SW of old house",unknown,surrounding area
pd SE of Arthur's,unknown,surrounding area
"pd SE of Arthur's, E shore",unknown,surrounding area
Nest 354,unknown,surrounding area
1 pd N of 5258,unknown,surrounding area
124,unknown,surrounding area
skomars,unknown,surrounding area
skomar,unknown,surrounding area
N 302,unknown,surrounding area
South of 5164,unknown,surrounding area
Just South of 5164,unknown,surrounding area
Near 5164,unknown,surrounding area
nest 282,unknown,surrounding area
Nest 449,unknown,surrounding area
N 261,unknown,surrounding area
27,unknown,surrounding area
N 348,unknown,surrounding area
nest 294,unknown,surrounding area
N 314,unknown,surrounding area
1st pd; Nest,unknown,surrounding area
pd ?,unknown,surrounding area
"Holly Beach, Louisiana",unknown,outside area
1st pd E of 7966,unknown,surrounding area
6622,unknown,surrounding area
N223,unknown,surrounding area
"Conway, Arkansas",unknown,outside area
pd,unknown,surrounding area
1/2 mile N of trailer E of road @ 1/2 section line,unknown,surrounding area
Stomar's,unknown,surrounding area
N306,unknown,surrounding area
1st pd NE of 5056,unknown,surrounding area
pd NE of 4857,unknown,surrounding area
Nest 143,unknown,surrounding area
2nd wetland N of Labreques Farm,unknown,surrounding area
1st wetland N of 7144,unknown,surrounding area
2nd pd N of 7044,unknown,surrounding area
nest 462,unknown,surrounding area
lrge pd West of Skomar's farm,unknown,surrounding area
lrge pd SW of 7044,unknown,surrounding area
N410,unknown,surrounding area
410,unknown,surrounding area
N of 7044,unknown,surrounding area
pd directly E of Boussier's access road,unknown,surrounding area
N 173,unknown,surrounding area
Nest 256,unknown,surrounding area
Nest 424,unknown,surrounding area
nest 571 (N quanset),unknown,surrounding area
N 432,unknown,surrounding area
Lge Pd West of Skomar's house,unknown,surrounding area
"Hackberry, Louisianna",unknown,outside area
Shetwtr. east/46,unknown,surrounding area
pd W of 6631 W of Road,unknown,surrounding area
11,unknown,surrounding area
"Trimle, Tennesee",unknown,outside area
1 pd NW of 7040,unknown,surrounding area
1st pd most SW of Sk Land N of area,unknown,surrounding area
nest 649 island,unknown,surrounding area
N 383,unknown,surrounding area
N398,unknown,surrounding area
N 345,unknown,surrounding area
5634,unknown,surrounding area
N231,unknown,surrounding area
Mississippi,unknown,outside area
N376,unknown,surrounding area
N 390,unknown,surrounding area
N 344,unknown,surrounding area
6954,unknown,surrounding area
"Helena, Arkansas",unknown,outside area
N313,unknown,surrounding area
N381,unknown,surrounding area
pd S of 6674,unknown,surrounding area
Near Jamestown N.D.,unknown,outside area
"1/2 mi N 
1/4 mi W of Arthur's farm",unknown,surrounding area
"Pecan Island, LA",unknown,outside area
See comments,NA,NA
comments,NA,NA
"Delacroix, LA",unknown,outside area
N 177,unknown,surrounding area
N 158,unknown,surrounding area
W 172,unknown,surrounding area
"Kulm, ND",unknown,outside area
N 169,unknown,surrounding area
"Wallisville, Texas",unknown,outside area
N 168,unknown,surrounding area
N 241,unknown,surrounding area
N 217,unknown,surrounding area
1/3 M E of SE corner of NWA,unknown,surrounding area
N202 Isl,unknown,surrounding area
"Marksville, LA",unknown,outside area
N 311,unknown,surrounding area
4336,unknown,surrounding area
see comments,NA,NA
N 305,unknown,surrounding area
N 257,unknown,surrounding area
N 281,unknown,surrounding area
1 pd SE 4336,unknown,surrounding area
pd 0935,unknown,surrounding area
N 265,unknown,surrounding area
N 251,unknown,surrounding area
N 414,unknown,surrounding area
0d 26,unknown,surrounding area
N 361,unknown,surrounding area
N 312,unknown,surrounding area
"Chalmette, LA",unknown,outside area
pd N of 5056,unknown,surrounding area
N 385,unknown,surrounding area
N 417,unknown,surrounding area
Skopar's,unknown,surrounding area
"Eudora, Arkansas",unknown,outside area
N 396,unknown,surrounding area
N 418,unknown,surrounding area
N 191,unknown,surrounding area
1/3 M East of SE corner of NWA,unknown,surrounding area
N 379,unknown,surrounding area
90 b,unknown,surrounding area
N 126 Isl,unknown,surrounding area
Clarksdale MS,unknown,surrounding area
N 422,unknown,surrounding area
N 338,unknown,surrounding area
N 217 Isl,unknown,surrounding area
"Dumus, Arkansas",unknown,outside area
S of NWA approx 2 mi,unknown,surrounding area
1 m N of town of St. Denis,unknown,surrounding area
pd N of 7040,unknown,surrounding area
N 301,unknown,surrounding area
1.5 mi SW of Arthur 1 mi W of Labreques,unknown,surrounding area
N 294,unknown,surrounding area
1 pd NE of 5056,unknown,surrounding area
"Buffalo, Texas",unknown,outside area
Lrge pd SW of 4727,unknown,surrounding area
p cd. 3635,unknown,surrounding area
n121,unknown,surrounding area
5965N,unknown,surrounding area
n107,unknown,surrounding area
n27,unknown,surrounding area
n76,unknown,surrounding area
n150,unknown,surrounding area
n87,unknown,surrounding area
n37,unknown,surrounding area
n98,unknown,surrounding area
n140,unknown,surrounding area
n75,unknown,surrounding area
79E,unknown,surrounding area
n115,unknown,surrounding area
n92,unknown,surrounding area
n38,unknown,surrounding area
n39,unknown,surrounding area
New House ,unknown,surrounding area
n123,unknown,surrounding area
pond #3670,unknown,surrounding area
pond #4857,unknown,surrounding area
SE of Pd5338,unknown,surrounding area
S of Pd5338,unknown,surrounding area
South of Pd 5338,unknown,surrounding area
2 Pd N of Pd 6642,unknown,surrounding area
SE of Pd5056,unknown,surrounding area
Pd4857,unknown,surrounding area
South of Pd 5338 Norhwest Siae,unknown,surrounding area
Pd 4439,unknown,surrounding area
South Pd 4439 central South pond,unknown,surrounding area
Pd 6753,unknown,surrounding area
Pd6753,unknown,surrounding area
South of Pd 5338 First Pd South of power lines in crop,unknown,surrounding area
350 East Pd 5056,unknown,surrounding area
Pd 4156 Skomar's ,unknown,surrounding area
350m E pd 5056,unknown,surrounding area
pd 5338,unknown,surrounding area
pd 6317,unknown,surrounding area
pd 6753,unknown,surrounding area
pd 6642,unknown,surrounding area
pd 5056,unknown,surrounding area
pd 9338,unknown,surrounding area
1st pd SE of pd 5338,unknown,surrounding area
pd 906,unknown,surrounding area
pd 5335,unknown,surrounding area
(7144) pd 7040,unknown,surrounding area
1/4 mi S of pd 7040,unknown,surrounding area
greater or equal to 3 mi NE of pd 7040 ,unknown,surrounding area
Near pd 2938,unknown,surrounding area
S of pd 799 nest 403,unknown,surrounding area
S pd 5338,unknown,surrounding area
pd 4327,unknown,surrounding area
S of pd 5338 1st pd S of powerlines in crop,unknown,surrounding area
pd 6751,unknown,surrounding area
pd 6631,unknown,surrounding area
SW of pd 6631 E side of road,unknown,surrounding area
pd 9350,unknown,surrounding area
pd 8367,unknown,surrounding area
SW pd 9350,unknown,surrounding area
pd 7966,unknown,surrounding area
pd 6136,unknown,surrounding area
big pd 8132 NE of Andre Denis,unknown,surrounding area
pd 8132 NE Andre Denis farm,unknown,surrounding area
nest # 412 N of pd 5056,unknown,surrounding area
pd 7662?,unknown,surrounding area
SW end pd 9350,unknown,surrounding area
S of pd 5056,unknown,surrounding area
pd 6954,unknown,surrounding area
"Skomar's pd, pd 4156",unknown,surrounding area
SW pd 5662,unknown,surrounding area
pd 8443,unknown,surrounding area
pd 7044,unknown,surrounding area
5 pds N of pd 2943,unknown,surrounding area
SCAUP 12,unknown,surrounding area
Pd 5338,unknown,surrounding area
Pd4327,unknown,surrounding area
Pd 6642,unknown,surrounding area
Pd6642,unknown,surrounding area
Pd6136,unknown,surrounding area
Pd4156 Skomar's,unknown,surrounding area
Pd6944,unknown,surrounding area
pD3558,unknown,surrounding area
Pd4717,unknown,surrounding area
Pd6751,unknown,surrounding area
Pd7040,unknown,surrounding area
Pd7079,unknown,surrounding area
Pd6317,unknown,surrounding area
Pd4437,unknown,surrounding area
N305; Pd905,unknown,surrounding area
Pd5358,unknown,surrounding area
Pd906,unknown,surrounding area
Pd6136 Bouisier's Pd,unknown,surrounding area
Pd6954,unknown,surrounding area
Pd6951,unknown,surrounding area
Pd1125,unknown,surrounding area
p1250,unknown,surrounding area
p4857,unknown,surrounding area
p5056,unknown,surrounding area
p7144,unknown,surrounding area
p6753,unknown,surrounding area
p4717,unknown,surrounding area
p6953,unknown,surrounding area
p4857 E,unknown,surrounding area
p6954,unknown,surrounding area
p4851,unknown,surrounding area
p5338 S,unknown,surrounding area
p5338,unknown,surrounding area
p5335,unknown,surrounding area
p6753 SE,unknown,surrounding area
p6751 E,unknown,surrounding area
p6753 W,unknown,surrounding area
p6751 N,unknown,surrounding area
p6753 N,unknown,surrounding area
p6136,unknown,surrounding area
p8132 andre's denis yd pd,unknown,surrounding area
1/2 mile N of 5056 (pd 5258) ,unknown,surrounding area
"""pd 6136""",unknown,surrounding area
pd 6751 ,unknown,surrounding area
pd 6672,unknown,surrounding area
pd 7040,unknown,surrounding area
pd 8132,unknown,surrounding area
NE of pd 5056,unknown,surrounding area
pd 4634,unknown,surrounding area
pd 4332,unknown,surrounding area
pd 4156 Skomar's pd,unknown,surrounding area
pd 8143,unknown,surrounding area
pd 6622,unknown,surrounding area
pd 5258,unknown,surrounding area
1st large wetland E of pd 7144,unknown,surrounding area
pd 7144,unknown,surrounding area
pd 6136; N of 85 pd W 92,unknown,surrounding area
pd 6954 (2 pds N of 7044),unknown,surrounding area
pd 8119,unknown,surrounding area
"Skomar's Pd, Pd 4156",unknown,surrounding area
"pd 6672 St. Denis, SK",unknown,surrounding area
pd 8107,unknown,surrounding area
"Skomar's pd
pd 4156",unknown,surrounding area
pd 3535,unknown,surrounding area
2nd pd to N of pd 5723,unknown,surrounding area
pd 5723,unknown,surrounding area
SW pd 7040,unknown,surrounding area
off area pd 6317,unknown,surrounding area
SE on crop 50,unknown,surrounding area
pd 1257,unknown,surrounding area
S end pd 5723,unknown,surrounding area
pd 4328,unknown,surrounding area
pd 4717,unknown,surrounding area
p7152,unknown,surrounding area
p8132,unknown,surrounding area
NE end Pd1 no sighting,NA,NA
Pd84 no sighting,NA,NA
